"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.022131E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","452","","Y","EA",""
"2.99773E7","F","Domestic Nonminority","N","CT","Fairfield County^ CT","064","","Y","AS","University Studies"
"3.0335229E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","","BU",""
"3.0178904E7","F","Domestic Nonminority","N","WV","Kanawha County^ WV","253","","Y","AS","University Studies"
"3.0491424E7","F","Domestic Minority","R","OH","Delaware County^ OH","430","","Y","AP",""
"3.0296294E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","AS","Social Sciences"
"2.9341028E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","AS","Natural Sciences"
"3.0161042E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","AS","Natural Sciences"
"3.0175134E7","F","Domestic Nonminority","R","OH","Union County^ OH","430","","Y","AP",""
"3.0079805E7","F","Domestic Nonminority","R","OH","Henry County^ OH","435","","Y","EA",""
"3.0285218E7","M","Domestic Nonminority","N","IL","Du Page County^ IL","605","","Y","BU",""
"3.0288273E7","F","Domestic Minority","N","DC","District Of Colu","200","","Y","AP",""
"3.0318316E7","M","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","BU",""
"3.0397564E7","F","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","BU",""
"3.0437526E7","M","Domestic Nonminority","N","NJ","Morris County^ NJ","079","","Y","AP",""
"3.0231736E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","AP",""
"3.0280668E7","F","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","EA",""
"3.0154035E7","M","Domestic Minority","N","IL","Lake County^ IL","600","","Y","BU",""
"3.040162E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","450","","","AP",""
"3.0399072E7","F","Domestic Minority","N","MD","Howard County^ MD","210","","Y","AS","Social Sciences"
"3.0364505E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","FA",""
"3.0325258E7","F","Domestic Nonminority","R","OH","Lucas County^ OH","435","Poland","Y","AP",""
"3.0237118E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","EA",""
"3.0142413E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","BU",""
"3.0230358E7","F","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","AS","Social Sciences"
"3.0079311E7","M","Domestic Nonminority","N","IN","Hamilton County^ IN","460","","Y","AS","Social Sciences"
"3.0377635E7","F","Domestic Minority","N","IL","McHenry County^ IL","600","","Y","BU",""
"3.008481E7","M","Domestic Minority","R","OH","Hancock County^ OH","458","","Y","AP",""
"3.0300961E7","M","Domestic Nonminority","R","OH","Summit County^ OH","442","","Y","BU",""
"3.0155296E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","EA",""
"3.0330523E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","FA",""
"3.0401243E7","M","Domestic Minority","N","CA","Los Angeles County^ CA","908","","Y","BU",""
"3.0172989E7","F","Domestic Nonminority","R","OH","Ashland County^ OH","448","","Y","AS","Humanities"
"3.0144805E7","F","Domestic Minority","R","OH","Sandusky County^ OH","434","","Y","BU",""
"3.0350387E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","BU",""
"3.0553395E7","F","Domestic Nonminority","R","OH","Montgomery County^ OH","454","","Y","AS","Natural Sciences"
"3.0276872E7","M","Domestic Nonminority","N","GA","Cobb County^ GA","300","","Y","AP",""
"3.0524756E7","M","International","I","",""," ","Vietnam","Y","BU",""
"3.0141308E7","M","Domestic Nonminority","R","OH","Franklin County^ OH","430","","Y","BU",""
"3.0160678E7","F","Domestic Nonminority","N","CO","Arapahoe County^ CO","801","","Y","AS","Natural Sciences"
"3.0305693E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","AS","Social Sciences"
"3.0263612E7","F","Domestic Nonminority","N","MD","Montgomery County^ MD","208","","Y","AS","University Studies"
"3.0265211E7","F","Domestic Nonminority","N","NH","Rockingham County^ NH","038","","Y","AS","Natural Sciences"
"3.0305017E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","EA",""
"3.020935E7","F","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","AS","Social Sciences"
